word,selected_sentence,sentence_length,original_frequency
bridge,Ava arrives at the bridge but is intercepted by a police cruiser.,12,848
front,"The Indian army starts moving forces to nearby locations, preparing to attack if Pakistan tries to open the Western front.",20,848
score,An Aggie fumble led to a second Penn State touchdown which tied the score at 14–14.,16,846
one,"In one-panel, a new counterpart to Jay Garrick is shown, among other Justice Society of America characters.",17,842
journalist,"Donna Gaines is a sociologist, journalist, and social worker in the United States.",13,838
faculty,"Institute staff work with professional filmmakers, some of whom are Cinema Department faculty at San Francisco State University.",18,834
product,"North America The comparable cleaning product in Canada and the US is trisodium phosphate, also known as ""TSP"".",18,832
color,Artworks In the 1970s Priest worked in abstraction using large striped areas of color in her work.,17,830
king,Her prayers are heard and she digs a hole to the king's stables.,13,830
post,"History The Buckingham post office operated from December 21, 1888, until July 1, 1966.",14,829
return,Sometimes a desire is expressed to hasten Jesus' return and the events that will precede it according to biblical prophecy.,20,829
judge,"In private life, the judge, like his son John, was a highly knowledgeable musician.",14,829
comedy,Chrysanthos Mentis Bostantzoglou makes a parody of the tragedy in his comedy Medea (1993).,14,827
receptor,The members of this receptor family are activated by cytokines.,10,822
mission,"Rather, it defines its mission as to enlarge the space for non-military alternatives to prevent and manage conflict.",18,821
trade,A Celebration of Trans-Tasman Relations from the Australian Department of Foreign Affairs and Trade.,14,821
street,"Bury Street is a one-way street in St James's, London SW1.",11,819
nature,"However, the nature of self-efficacy differs from phase to phase.",10,815
surname,In 1881 there had been two people with this surname in Great Britain.,13,812
bass,"4 A bass arioso sets two more verses from the psalm, (Day and night are Yours).",16,810
driver,In 1994 he was transferred to PFC “Altaienergostroy” as a driver.,11,807
west,"It is bounded by Canal Street to the northeast, Varick Street to the west, and Laight Street to the south.",20,805
experience,The intermediate level (AA) is generally for the players with high school baseball or some college experience.,17,805
letter,"""The purloined letter is synonymous with the original, radical subject of the unconscious.",13,801
cost,He took one first-class wicket at the cost of 241 runs.,11,801
technology,"""Mr. Kayama is a unique guy with a deep understanding of technology.",12,800
baseball,The intermediate level (AA) is generally for the players with high school baseball or some college experience.,17,798
surface,"For instance, as the capillary pressure increases, a wettable surface in a channel will pull the liquid through the conduit.",20,797
crime,Heavy Crime Bureau chief Pau Yu Chat (Kenneth Tsang) sends Lung to go undercover to take Yau's job.,18,797
method,He also developed a method of Philosophical Counseling based on human understanding of typological perspective.,15,787
minister,The Minister Steward was also in charge of disbursing the incomes of members of the imperial clan.,17,787
lead,Lap 45: Cale Yarborough took over the lead from Bobby Allison.,11,785
s,"In Turing's own words: ""what I shall prove is quite different from the well-known results of Gödel ...",18,780
teacher,"In the autumn of 1969, a teacher's strike was called at the school for the first time in its history.",20,778
concept,"The original concept for her was to have her as strong, sexy and ""bewitching"".",14,776
floor,These entrances are connected to the others by way of bathrooms and ground floor lounges.,15,776
official,"Therefore, in 1941, DIL decided to establish its own post office, which required an official name for the place.",19,770
km,"Thirupuram village is 6 km away from Neyyattinkara, 25 km away from the capital city Thiruvananthapuram.",16,770
painter,Pascal Lecocq (born 4 June 1958) is a French painter and set designer.,13,769
distribution,Habitat and distribution Fruit bodies of Lepiota zalkavritha grow singly on the ground.,13,768
voice,"Voice and reputation Caffarelli's voice was that of a mezzo-soprano, with an extensive range and a high tessitura.",18,767
chart,The track peaked at number 55 on the UK Singles Chart.,11,767
branch,It was used by PTTK (Polish Tourist and Sightseeing Society) branch in Lubin as a youth hostel.,17,765
idea,"The campaign was the idea of Conservative politician Rory Stewart, MP for Penrith and The Border.",16,763
view,"In his view, most people acted in accord with selfish, worldly motives.",12,756
start,Political career Start in politics Almaci came to Groen because of the environmental theme.,14,752
variety,"This includes the management of a wide variety of disorders, injuries, foot deformities, infections and local manifestations of systemic conditions.",20,750
politics,Political career Start in politics Almaci came to Groen because of the environmental theme.,14,749
administration,"These controversies cover areas such as rules, match fixing, cheating, sportsmanship, doping and sport administration.",15,745
rule,"In the course of a long and eventful life, he became a key figure in Welsh resistance to Norman rule.",20,745
news,He is the former legal editor at the online news organization BuzzFeed News.,13,742
attempt,"In an attempt to reduce the bridgehead and to retake Kiev, German forces counter-attacked in the region south of Zhytomyr.",20,741
master,"Her master's thesis was An introduction to logic, sets, and mathematical systems.",12,738
image,This comparison identifies the digit that the new image most resembles.,11,737
drug,"Furthermore, other clinical differential diagnosis could be from drug eruptions, urticaria, or viral exanthems.",14,736
flight,Vakulovsky departed the siege in a hazardous low level flight through ground fire and foul foggy weather.,17,732
settlement,History Early settlement The area around Baraboo was the site of a Kickapoo village as early as 1665.,18,730
page,"page that Volkova was finishing her second single, titled ""Didn't Wanna Do It"", due out in July 2012.",18,725
cricketer,He was thereafter named as a Wisden Cricketer of the Year in 1997.,13,724
hockey,"The Martire Family Arena is a 3,600-seat ice hockey arena in Fairfield, Connecticut.",13,723
love,"Magical love spot Diarmuid was famous for his beauty, and for his 'love spot', which made him irresistible to women.",20,722
engineer,"Career In his early career, Jenike worked for several engineering design firms as a mechanical and structural engineer.",18,722
opening,Last episode of first season of the British show Shameless features the Bodymount being used in the opening scene.,19,721
